,token_idx,token_str,count
382,191,,10
383,8049, exceed,86
384,248, a,8
385,191,,8
386,534,"

",9
387,34406,"

",15
388,191,,6
389,534,"

",7
390,34406,"

",7
391,191,,10
392,34840, Á,13
393,248, a,8
394,191,,12
395,3206, National,100
396,191,,9
397,28,:,100
398,248, a,6
399,1837, hard,100
400,191,,9
401,3183, fire,100
402,191,,15
403,248, a,12
404,14254, Roy,62
405,360, we,66
406,191,,14
407,30238,parts,41
408,191,,8
409,191,,15
410,191,,9
411,1185, hel,25
412,191,,9
413,191,,9
414,191,,10
415,191,,9
416,191,,9
417,282, to,100
418,2391, past,100
419,191,,11
420,248, a,9
421,191,,12
422,248, a,7
423,248, a,6
424,8293, brown,100
425,534,"

",8
426,191,,8
427,191,,9
428,191,,6
429,248, a,7
430,34406,"

",6
431,34406,"

",11
432,28933, '.,7
433,865, know,100
434,248, a,9
435,248, a,10
436,248, a,14
437,191,,10
438,248, a,8
439,15,-,90
440,191,,10
441,89,w,100
442,534,"

",7
443,47859, enumerate,100
444,248, a,9
445,7457, attached,72
446,191,,8
447,191,,10
448,534,"

",7
449,34406,"

",10
450,248, a,8
451,2614,www,8
452,2140, sat,100
453,390, or,52
454,34406,"

",10
455,5591,chen,12
456,10682,iol,5
457,12853, categor,17
458,44052, Diaz,10
459,353, it,100
460,512, all,100
461,191,,7
462,642, other,100
463,191,,15
464,933, should,85
465,1294, value,53
466,596, they,47
467,10945, Award,10
468,191,,6
469,191,,9
470,7125, ca,64
471,1733, large,22
472,1021,sp,38
473,274, of,100
474,457,’,100
475,12,*,23
476,191,,17
477,1350, state,2
478,191,,11
479,191,,11
480,2614,www,8
481,1027, |,17
482,926,"
           ",13
483,248, a,16
484,2489, others,100
485,191,,11
486,248, a,8
487,4817, tool,100
488,248, a,6
489,191,,9
490,191,,11
491,5015,di,11
492,248, a,6
493,534,"

",8
494,248, a,9
495,248, a,10
496,248, a,7
497,3612, ?,100
498,191,,10
499,534,"

",7
500,55,U,100
501,248, a,8
502,248, a,9
503,3526, policy,100
504,1991, App,100
505,34406,"

",8
506,191,,15
507,191,,6
508,248, a,10
509,191,,8
510,248, a,8
511,191,,10
512,11459, Mir,79
513,770, rel,43
514,2614,www,8
515,34406,"

",11
516,34406,"

",9
517,5276,apping,9
518,1675,AS,14
519,2614,www,8
520,34406,"

",12
521,191,,12
522,191,,14
523,1245, level,100
524,534,"

",7
525,248, a,8
526,2614,www,8
527,2570, id,100
528,9482,"""""",100
529,191,,9
530,191,,13
531,276, in,100
532,191,,10
533,191,,13
534,13498, CP,59
535,534,"

",8
536,191,,10
537,282, to,100
538,191,,7
539,324, for,73
540,14794, founder,86
541,248, a,14
542,248, a,10
543,191,,7
544,191,,8
545,34406,"

",8
546,2614,www,8
547,7893, reverse,100
548,248, a,7
549,87,u,17
550,248, a,16
551,7413, familiar,100
552,3921, Gl,100
553,28,:,67
554,191,,12
555,191,,8
556,191,,12
557,34406,"

",11
558,191,,10
559,12196,env,100
560,926,"
           ",31
561,531,ip,37
562,248, a,8
563,13116,人,5
564,191,,13
565,2614,www,8
566,254, the,100
567,2614,www,8
568,7268, Windows,100
569,191,,9
570,34406,"

",14
571,2614,www,8
572,191,,9
573,1280, report,100
574,63,],14
575,191,,11
576,248, a,11
577,248, a,12
578,1578,by,100
579,191,,9
580,191,,11
581,14,",",100
582,248, a,8
583,985,""",",79
584,647,"
       ",15
585,191,,8
586,248, a,7
587,282, to,100
588,248, a,9
589,191,,13
590,191,,11
591,191,,9
592,248, a,100
593,191,,6
594,34406,"

",11
595,534,"

",9
596,191,,13
597,324, for,99
598,12047, ----------------------------------------------------------------,99
599,191,,11
600,191,,14
601,248, a,6
602,15,-,100
603,765, act,100
604,191,,15
605,10374, icon,86
606,191,,7
607,191,,12
608,2614,www,8
609,534,"

",8
610,191,,10
611,248, a,6
612,34406,"

",13
613,3761,EL,100
614,191,,11
615,191,,8
616,4024, designed,100
617,191,,11
618,248, a,8
619,4128, myself,18
620,534,"

",8
621,248, a,11
622,191,,11
623,191,,9
624,248, a,7
625,191,,12
626,11374, scored,12
627,248, a,12
628,16,.,100
629,48,N,100
630,191,,9
631,483,out,100
632,191,,10
633,4987, construction,100
634,426, =,63
635,4355, meaning,100
636,191,,12
637,191,,13
638,1548,ote,25
639,1510,def,51
640,191,,13
641,2614,www,7
642,25570,binary,13
643,248, a,7
644,191,,9
645,16,.,100
646,1682,ends,9
647,1358,"',",100
648,3324, effort,100
649,328, on,100
650,2614,www,8
651,191,,8
652,191,,14
653,3452, political,100
654,6384, maintain,100
